word,frequency
goad,4
regenerate,9
eight,21
splice,29
beyond,42
multiple,5
unpaired,17
companion,10
totals,5
affected,3
summoning,2
sickness,4
else,8
repeats,2
whichever,5
surge,14
teammate,11
feather,8
available,2
remaining,2
take,12
increased,3
true,8
fewest,5
dilemma,6
sprout,2
harvest,2
divide,39
blockers,23
nonattacking,3
drafting,2
booster,16
pack,14
round,6
packs,2
passed,2
detain,8
infect,20
pick,1
drafted,15
hour,12
looks,6
separates,6
face-down,17
spend,24
exploits,10
nonred,4
face-up,9
poisoned,4
choosing,3
part,3
must,28
greatest,29
surveil,16
cumulative,7
petrification,1
attaches,1
reduce,15
nothing,2
brick,10
mire,5
nongreen,8
includes,6
include,1
activation,10
prevents,1
investigate,16
commander,6
source's,10
fateseal,2
mode,10
libraries,20
plainswalk,7
populate,4
incarnation,2
nine,3
mark,8
represent,9
double-faced,10
count,5
lowest,6
unattached,19
rampage,7
contains,8
couldn't,11
cleanup,14
active,5
maximum,30
size,33
playing,20
ante,15
ownership,4
she,1
unity,2
plot,2
changeling,3
riot,2
sacrificing,15
reduced,19
stays,15
need,4
gone,4
adventure,4
evenly,2
armor,12
resolving,5
haunting,10
haunts,10
note,10
transformed,1
ability's,5
produce,22
escaped,2
everything,2
untaps,18
hit,2
created,11
mountainwalk,11
artifact's,20
bounty,5
fate,6
enchantment's,5
haven't,4
added,1
following,1
continues,1
cube,2
infection,4
skulk,2
petal,2
nonwhite,10
slivercycling,1
vanishing,1
ignore,4
which,8
annihilator,2
chose,2
plague,4
distribute,5
polyp,3
offering,4
difference,9
between,8
mutated,5
prowess,2
amassed,1
destroys,1
awaken,1
loss,12
works,5
simultaneously,3
instants,3
entering,7
trigger,9
ice,13
transform,2
strife,3
flips,6
undying,4
dying,2
rust,3
cycling,5
gold,5
crews,3
smaller,1
produces,12
experience,2
matter,2
how,7
including,9
neither,1
nor,1
blood,8
keeps,1
supertypes,1
did,5
cry,6
afflict,1
filibuster,3
bid,15
start,6
bidding,7
high,12
stands,3
bidder,3
above,4
unearth,2
fortified,1
investigates,1
searching,1
hides,1
item,1
items,2
directly,2
bands,20
eon,2
yet,1
previously,1
healing,6
pin,4
assemble,1
assembles,1
nonsnow,5
psychosis,2
mulligan,1
taking,2
mulligans,2
transforms,1
hatchling,3
guesses,2
whether,4
guessed,3
wrong,2
vitality,2
him,4
phylactery,2
triple,1
wears,5
off,5
embalmed,1
cascade,2
growth,6
foreshadow,2
divinity,17
cycled,4
recently,1
having,5
legend,2
rule,2
apply,3
tide,12
sleep,3
denial,2
duplication,2
delay,6
original,1
crew,2
prowl,10
devoid,1
training,1
bushido,2
stops,1
started,2
antes,1
sleight,3
carrion,2
heads,3
devoured,4
fifteen,2
shell,3
instance,3
wish,4
bolster,11
phasing,4
corpse,3
searched,10
velocity,4
spliced,1
doom,6
begins,2
survive,2
muster,2
drawn,11
separately,3
manifests,1
dethrone,1
death,6
ki,12
prey,2
poisonous,2
kinds,3
elixir,3
stop,1
flipping,1
characteristics,1
improvise,1
ended,1
unattach,4
replicate,9
affect,2
evolves,1
bribery,2
her,1
mine,3
make,3
illegal,1
study,2
page,7
strength,2
numbers,2
he's,1
owned,2
minimum,2
lethal,2
marked,2
soulshift,2
crystal,2
voting,3
choices,2
outlast,2
winch,2
despair,2
drawing,1
contain,1
pressure,4
team's,2
unaffected,1
knowledge,4
luck,4
banded,3
currency,2
pass,1
differently,1
normally,1
trap,2
just,2
adapts,2
exchanged,1
omen,3
became,1
aim,5
originally,4
printed,4
expansion,4
ninety-nine,1
delve,1
reorder,1
soulbond,1
suspend,2
tie,1
broken,1
surveilled,1
credit,3
declaring,1
whom,1
likewise,1
assigned,1
empty,1
wild,2
free,2
theft,2
began,2
tower,2
pupa,3
use,4
right,5
label,1
coins,5
money,2
voter,1
ore,3
manifestation,1
see,4
decisions,2
awakening,2
area,2
devour,2
task,3
arrow,2
beneath,1
melee,2
planar,1
hourglass,3
blaze,2
commanders,4
partner,4
ripple,1
shield,2
exalted,4
retains,2
decide,1
decides,1
stakes,1
net,3
scavenge,2
phased-out,1
enchanting,1
fading,1
swap,1
gem,2
passes,1
vortex,3
totem,1
taxes,2
egg,4
absorb,1
magnet,5
they've,1
twelfth,1
far,1
reselect,1
legal,1
slumber,3
eternalize,2
embalm,2
scream,6
exploited,2
convoked,1
championed,1
resolve,1
thirteen,1
frenzy,1
modular,1
drafts,1
guess,1
correctly,1
bloodthirst,1
rules,1
kicks,1
quill,2
manifested,1
glyph,3
unopened,1
looked,1
seventh,1
teammates,1
wage,3
himself,1
finishes,1
doing,1
using,2
affinity,1
height,2
foot,2
completely,2
touches,1
torture,2
carnage,2
homage,2
words,1
changed,1
generic,1
provoke,1
shred,2
hadn't,1
nonblocking,1
isolation,2
paralyzation,3
point,1
none,1
subgame,2
decks,1
wind,6
soot,2
ways,1
dream,5
islandcycling,1
finish,1
voted,1
